,TP9,AF7,AF8,TP10,Right AUX,timestamps
154,-1000.000,-13.672,-31.250,-1000.000,0.000,1731707843.678
155,-1000.000,-11.230,-25.391,-1000.000,0.000,1731707843.681
156,-1000.000,2.441,-13.672,-1000.000,0.000,1731707843.687
157,-1000.000,2.441,-10.742,-1000.000,0.000,1731707843.690
158,-1000.000,-2.441,-14.648,-1000.000,0.000,1731707843.694
159,-1000.000,8.301,-13.184,-1000.000,0.000,1731707843.697
160,-1000.000,8.789,-9.277,-1000.000,0.000,1731707843.701
161,-1000.000,-17.090,-16.602,-1000.000,0.000,1731707843.704
162,-1000.000,-28.320,-26.367,-1000.000,0.000,1731707843.708
163,-1000.000,-10.742,-26.855,-1000.000,0.000,1731707843.711
164,-1000.000,-11.230,-22.949,-1000.000,0.000,1731707843.715
165,-1000.000,-16.602,-20.508,-1000.000,0.000,1731707843.718
166,-1000.000,-17.578,-26.367,-1000.000,0.000,1731707843.722
167,-1000.000,-16.113,-23.926,-1000.000,0.000,1731707843.725
168,-1000.000,-14.160,-16.113,-1000.000,0.000,1731707843.732
169,-1000.000,-21.484,-22.949,-1000.000,0.000,1731707843.736
170,-1000.000,-31.250,-36.133,-1000.000,0.000,1731707843.739
171,-1000.000,-37.109,-33.203,-1000.000,0.000,1731707843.743
172,-1000.000,-41.504,-30.273,-1000.000,0.000,1731707843.746
173,-1000.000,-40.039,-33.203,-1000.000,0.000,1731707843.750
174,-1000.000,-34.668,-35.645,-1000.000,0.000,1731707843.754
175,-1000.000,-29.785,-38.086,-1000.000,0.000,1731707843.757
176,-1000.000,-31.250,-30.762,-1000.000,0.000,1731707843.761
177,-1000.000,-52.734,-25.879,-1000.000,0.000,1731707843.764
178,-1000.000,-50.781,-27.832,-1000.000,0.000,1731707843.768
179,-1000.000,-27.832,-30.273,-1000.000,0.000,1731707843.771
180,-1000.000,-17.578,-23.926,-1000.000,0.000,1731707843.778
181,-1000.000,-18.555,-16.602,-1000.000,0.000,1731707843.782
182,-1000.000,-22.461,-19.531,-1000.000,0.000,1731707843.785
183,-1000.000,-19.043,-18.555,-1000.000,0.000,1731707843.789
184,-1000.000,-17.578,-17.090,-1000.000,0.000,1731707843.792
185,-1000.000,-18.066,-15.625,-1000.000,0.000,1731707843.796
186,-1000.000,-20.508,-15.625,-1000.000,0.000,1731707843.799
187,-1000.000,-16.113,-24.414,-1000.000,0.000,1731707843.803
188,-1000.000,-17.090,-19.531,-1000.000,0.000,1731707843.806
189,-1000.000,-26.855,-11.719,-1000.000,0.000,1731707843.810
190,-1000.000,-7.812,-12.207,-1000.000,0.000,1731707843.814
191,-1000.000,-1.953,-14.648,-1000.000,0.000,1731707843.817
192,-1000.000,-11.719,-20.508,-1000.000,0.000,1731707843.824
193,-1000.000,-15.625,-17.578,-1000.000,0.000,1731707843.827
194,-1000.000,-13.672,-15.625,-1000.000,0.000,1731707843.831
195,-1000.000,-14.160,-19.043,-1000.000,0.000,1731707843.834
196,-1000.000,-18.066,-18.066,-1000.000,0.000,1731707843.838
197,-1000.000,-11.719,-13.672,-1000.000,0.000,1731707843.842
198,-1000.000,3.418,-12.207,-1000.000,0.000,1731707843.845
199,-1000.000,7.324,-12.695,-1000.000,0.000,1731707843.849
200,-1000.000,-30.273,-16.113,-1000.000,0.000,1731707843.852
201,-1000.000,-33.203,-20.508,-1000.000,0.000,1731707843.856
202,-1000.000,-5.859,-20.508,-1000.000,0.000,1731707843.859
203,-1000.000,-7.324,-24.414,-1000.000,0.000,1731707843.863
204,0.000,-12.695,-27.344,-1000.000,0.000,1731707843.870
205,0.000,-14.160,-27.832,-1000.000,0.000,1731707843.873
206,0.000,-11.719,-23.926,-1000.000,0.000,1731707843.877
207,0.000,-15.625,-21.484,-1000.000,0.000,1731707843.880
208,0.000,-20.996,-27.344,-1000.000,0.000,1731707843.884
209,0.000,-12.207,-26.855,-1000.000,0.000,1731707843.887
