,TP9,AF7,AF8,TP10,Right AUX,timestamps
275,0.000,-38.086,-37.598,-973.633,0.000,1731708174.941
276,-956.055,-35.645,-46.875,-1000.000,0.000,1731708174.948
277,-1000.000,-35.645,-54.199,-938.965,0.000,1731708174.951
278,-27.344,-19.043,-46.387,371.582,0.000,1731708174.955
279,-916.016,-12.695,-36.621,-916.016,0.000,1731708174.959
280,928.223,-23.926,-33.203,910.156,0.000,1731708174.962
281,956.543,-26.367,-29.785,975.098,0.000,1731708174.966
282,972.656,-20.996,-32.227,970.703,0.000,1731708174.970
283,969.727,-21.973,-35.645,970.703,0.000,1731708174.973
284,969.727,-33.203,-36.621,970.703,0.000,1731708174.977
285,969.727,-31.738,-34.668,970.703,0.000,1731708174.980
286,969.727,-27.832,-27.832,970.703,0.000,1731708174.984
287,969.727,-35.156,-21.973,970.703,0.000,1731708174.988
288,970.215,-23.438,-24.414,970.703,0.000,1731708174.994
289,984.375,-13.184,-35.156,983.887,0.000,1731708174.998
290,899.414,-16.113,-47.363,911.133,0.000,1731708175.001
291,-919.922,-32.715,-43.457,-958.008,0.000,1731708175.005
292,577.637,-48.340,-30.762,746.094,0.000,1731708175.009
293,-854.004,-44.922,-37.109,-663.574,0.000,1731708175.012
294,-1000.000,-38.086,-42.480,-1000.000,0.000,1731708175.016
295,-943.848,-35.156,-37.598,-937.988,0.000,1731708175.020
296,-1000.000,-37.598,-40.527,-1000.000,0.000,1731708175.023
297,-936.035,-40.527,-39.062,-941.406,0.000,1731708175.027
298,-1000.000,-35.156,-24.902,-1000.000,0.000,1731708175.031
299,-248.535,-42.969,-29.297,-179.199,0.000,1731708175.034
300,-968.750,-41.992,-29.297,-949.219,0.000,1731708175.041
301,958.496,-18.555,-26.367,948.730,0.000,1731708175.044
302,940.430,-8.789,-30.273,946.289,0.000,1731708175.048
303,977.539,-25.391,-28.809,976.562,0.000,1731708175.051
304,969.727,-38.574,-30.273,970.703,0.000,1731708175.055
305,969.727,-27.832,-22.949,970.703,0.000,1731708175.059
306,970.215,-6.348,-18.066,972.168,0.000,1731708175.062
307,970.703,0.488,-16.113,963.867,0.000,1731708175.066
308,907.227,-29.297,-18.555,921.387,0.000,1731708175.070
309,-891.602,-33.203,-27.344,-916.016,0.000,1731708175.073
310,188.965,-36.133,-19.043,78.125,0.000,1731708175.077
311,-1000.000,-40.039,1.465,-1000.000,0.000,1731708175.081
312,-984.375,-18.555,2.441,-973.633,0.000,1731708175.087
313,-974.121,-7.812,11.719,-979.004,0.000,1731708175.090
314,-944.336,-23.438,15.625,-945.801,0.000,1731708175.094
315,-1000.000,-41.016,36.133,-1000.000,0.000,1731708175.098
316,-219.238,-13.672,53.711,-185.059,0.000,1731708175.101
317,-958.496,59.082,54.199,-950.195,0.000,1731708175.105
318,953.613,70.801,85.449,949.707,0.000,1731708175.109
319,942.871,15.137,79.590,945.801,0.000,1731708175.112
320,976.562,-10.742,47.852,976.562,0.000,1731708175.116
321,970.215,-8.301,38.086,970.703,0.000,1731708175.120
322,969.727,6.348,46.875,970.215,0.000,1731708175.123
323,970.215,36.621,64.453,971.191,0.000,1731708175.127
324,976.074,73.242,100.098,970.215,0.000,1731708175.133
